LAT,LON,YEAR,MO,DY,QV2M,KT,DTI,SII
28.67591,77.11321,1998,11,29,0.004156,0.68,6.91,4.1
28.67591,77.11321,1998,11,30,0.003675,0.69,7.1,4.16
28.67591,77.11321,1998,12,1,0.00352,0.73,6.86,4.34
28.67591,77.11321,1998,12,2,0.004017,0.71,6.99,4.22
28.67591,77.11321,1998,12,3,0.004252,0.72,6.84,4.25
28.67591,77.11321,1998,12,4,0.00453,0.71,6.99,4.19
28.67591,77.11321,1998,12,5,0.004768,0.7,7.31,4.1
28.67591,77.11321,1998,12,6,0.004978,0.71,7.34,4.16
28.67591,77.11321,1998,12,7,0.004712,0.7,7.16,4.12
28.67591,77.11321,1998,12,8,0.004106,0.7,6.97,4.1
28.67591,77.11321,1998,12,9,0.003778,0.7,6.78,4.06
28.67591,77.11321,1998,12,10,0.003688,0.69,6.79,3.98
28.67591,77.11321,1998,12,11,0.003973,0.71,6.88,4.11
28.67591,77.11321,1998,12,12,0.004117,0.67,6.74,3.89
28.67591,77.11321,1998,12,13,0.003596,0.67,6.65,3.86
28.67591,77.11321,1998,12,14,0.004068,0.65,6.9,3.74
28.67591,77.11321,1998,12,15,0.004034,0.66,7.16,3.81
28.67591,77.11321,1998,12,16,0.004056,0.56,7.08,3.22
28.67591,77.11321,1998,12,17,0.003629,0.47,7.26,2.72
28.67591,77.11321,1998,12,18,0.003422,0.45,7.27,2.6
28.67591,77.11321,1998,12,19,0.00362,0.46,7.3,2.64
28.67591,77.11321,1998,12,20,0.004029,0.46,7.62,2.63
28.67591,77.11321,1998,12,21,0.004263,0.58,7.32,3.33
28.67591,77.11321,1998,12,22,0.00427,0.47,7.4,2.7
28.67591,77.11321,1998,12,23,0.003984,0.44,7.42,2.5
28.67591,77.11321,1998,12,24,0.00401,0.37,7.4,2.1
28.67591,77.11321,1998,12,25,0.003573,0.62,6.72,3.57
28.67591,77.11321,1998,12,26,0.003141,0.59,6.83,3.38
28.67591,77.11321,1998,12,27,0.003407,0.55,6.89,3.17
28.67591,77.11321,1998,12,28,0.003611,0.47,7.3,2.7
28.67591,77.11321,1998,12,29,0.004111,0.67,7.1,3.86
28.67591,77.11321,1998,12,30,0.004678,0.68,7.12,3.95
28.67591,77.11321,1998,12,31,0.004771,0.6,6.75,3.47
28.67591,77.11321,1999,1,1,0.003882,0.63,6.69,3.63
28.67591,77.11321,1999,1,2,0.002818,0.67,7.12,3.91
28.67591,77.11321,1999,1,3,0.003337,0.56,7.81,3.26
28.67591,77.11321,1999,1,4,0.003683,0.63,6.9,3.71
28.67591,77.11321,1999,1,5,0.004283,0.68,6.78,3.99
28.67591,77.11321,1999,1,6,0.006089,0.22,8.41,1.29
28.67591,77.11321,1999,1,7,0.007026,0.25,7.61,1.45
28.67591,77.11321,1999,1,8,0.006262,0.51,7.08,3.01
28.67591,77.11321,1999,1,9,0.005656,0.21,7.43,1.23
28.67591,77.11321,1999,1,10,0.004574,0.62,6.71,3.72
28.67591,77.11321,1999,1,11,0.003859,0.53,6.96,3.16
28.67591,77.11321,1999,1,12,0.003912,0.39,6.98,2.33
28.67591,77.11321,1999,1,13,0.004072,0.51,6.55,3.07
28.67591,77.11321,1999,1,14,0.004144,0.46,7.37,2.82
28.67591,77.11321,1999,1,15,0.003943,0.44,7.16,2.69
28.67591,77.11321,1999,1,16,0.004052,0.54,7,3.31
28.67591,77.11321,1999,1,17,0.004025,0.47,7.31,2.9
28.67591,77.11321,1999,1,18,0.003921,0.4,7.28,2.47
28.67591,77.11321,1999,1,19,0.004088,0.39,7.76,2.44
28.67591,77.11321,1999,1,20,0.004632,0.41,8.58,2.57
28.67591,77.11321,1999,1,21,0.004975,0.53,8.22,3.34
28.67591,77.11321,1999,1,22,0.005032,0.67,7.89,4.28
28.67591,77.11321,1999,1,23,0.005148,0.72,7.4,4.64
28.67591,77.11321,1999,1,24,0.00557,0.58,7.86,3.71
28.67591,77.11321,1999,1,25,0.005312,0.71,6.82,4.61
28.67591,77.11321,1999,1,26,0.004925,0.76,6.53,4.95
28.67591,77.11321,1999,1,27,0.00461,0.73,7.41,4.81
28.67591,77.11321,1999,1,28,0.006623,0.32,7.81,2.12
28.67591,77.11321,1999,1,29,0.005906,0.49,7.27,3.25
28.67591,77.11321,1999,1,30,0.005025,0.62,7.08,4.18
28.67591,77.11321,1999,1,31,0.004396,0.73,6.71,4.93
28.67591,77.11321,1999,2,1,0.003678,0.76,6.5,5.15
28.67591,77.11321,1999,2,2,0.003667,0.76,6.27,5.2
28.67591,77.11321,1999,2,3,0.003297,0.74,6.62,5.08
28.67591,77.11321,1999,2,4,0.003095,0.74,6.66,5.1
28.67591,77.11321,1999,2,5,0.002916,0.71,7.06,4.98
28.67591,77.11321,1999,2,6,0.003185,0.64,7.4,4.46
28.67591,77.11321,1999,2,7,0.003741,0.54,7.88,3.79
28.67591,77.11321,1999,2,8,0.005008,0.21,8.25,1.53
28.67591,77.11321,1999,2,9,0.005912,0.65,7.58,4.67
28.67591,77.11321,1999,2,10,0.005876,0.64,7.7,4.62
28.67591,77.11321,1999,2,11,0.006052,0.68,8.04,4.94
28.67591,77.11321,1999,2,12,0.006655,0.64,8.06,4.66
28.67591,77.11321,1999,2,13,0.006291,0.69,7.33,5.09
